entity_id	label	old_date	old_precision	new_date_type	new_date	new_precision
4218	X-Men Origins: Wolverine	2009-04-29	3	release	2009-04-29	3
4222	Beserkley Records	1973-01-01	1	inception	1973-01-01	1
4237	Facing the Flag	1896-01-01	1	publication	1896-01-01	1
4308	Interscope Records	1989-01-01	1	inception	1989-01-01	1
4310	Two Years' Vacation	1888-01-01	1	publication	1888-01-01	1
4423	4AD	1980-01-01	1	inception	1980-01-01	1
4464	Mute Records	1978-01-01	1	inception	1978-01-01	1
4501	The History of Tom Jones, a Foundling	1749-01-01	1	publication	1749-01-01	1
4507	The Brady Bunch	1969-09-26	3	broadcast_start	1969-09-26	3
4603	Caroline Records	1973-01-01	1	inception	1973-01-01	1
4610	Nitro Records	1995-01-01	1	inception	1995-01-01	1
4626	Dream Story	1926-01-01	1	publication	1926-01-01	1
4637	SideOneDummy Records	1995-01-01	1	inception	1995-01-01	1
4715	The Phantom of the Opera	1910-01-01	1	publication	1910-01-01	1
4779	Les Disques du Crépuscule	1980-01-01	1	inception	1980-01-01	1
4785	A&M Records	1962-01-01	1	inception	1962-01-01	1
4786	A-F Records	1998-01-01	1	inception	1998-01-01	1
4817	The Ugly Swans	1968-01-01	1	publication	1968-01-01	1
4918	Buddah Records	1967-01-01	1	inception	1967-01-01	1
5038	City Slang	1991-01-01	1	inception	1991-01-01	1
5132	Sony Music	1991-01-01	3	inception	1991-01-01	3
5244	Adeline Records	1997-01-01	1	inception	1997-01-01	1
5299	Lucas Entertainment	1998-01-01	1	inception	1998-01-01	1
5333	Krabat	1971-01-01	1	publication	1971-01-01	1
5366	Eagle Records	1997-04-01	2	inception	1997-04-01	2
5399	The Pit and the Pendulum	1842-01-01	1	publication	1842-01-01	1
5426	Rough Trade	1978-01-01	1	inception	1978-01-01	1
5433	Борис Годунов	1869-01-01	1	publication	1874-01-01	1
5468	Lookout! Records	1987-01-01	1	inception	1987-01-01	1
5510	20th Century Studios	1935-05-31	3	inception	1935-05-31	3
5560	Alternative Tentacles	1979-01-01	1	inception	1979-01-01	1
5883	American Recordings	1988-01-01	1	inception	1988-01-01	1
5890	The Dead Zone	1979-08-16	3	publication	1979-08-16	3
5912	The Key	1956-01-01	1	publication	1956-01-01	1
5937	The Shining	1977-01-28	3	publication	1977-01-28	3
5960	RAK	1969-01-01	1	inception	1969-01-01	1
5968	Spider-Man	2002-05-03	3	release	2002-05-03	3
5996	Henry V	1599-01-01	1	inception	1599-01-01	1
6001	Spaceballs	1987-06-26	3	release	1987-06-26	3
6012	Westworld	1973-01-01	1	release	1973-01-01	1
6109	Young Tom Edison	1940-01-01	1	release	1940-01-01	1
6213	Super Mario Bros.	1993-05-28	3	release	1993-05-28	3
6243	Selznick International Pictures	1935-01-01	1	inception	1935-01-01	1
6253	Tales of the Unexpected	1979-01-01	1	publication	1979-01-01	1
6350	Decca	1929-01-01	1	inception	1929-01-01	1
6352	Fifty Shades of Grey	2011-06-20	3	publication	2011-06-20	3
6380	Constantin Film	1950-04-01	3	inception	1950-04-01	3
6400	NTV	1993-10-10	3	inception	1993-10-10	3
6409	Falcon Entertainment	1971-01-01	1	inception	1971-01-01	1
6421	Atco Records	1955-01-01	1	inception	1955-01-01	1
6462	Deezer	2007-08-22	3	inception	2007-08-22	3
6470	Fat Wreck Chords	1990-01-01	1	inception	1990-01-01	1
6494	Man of Steel	2013-06-10	3	release	2013-06-10	3
6496	Carrie	1974-04-05	3	publication	1974-04-05	3
6502	Vivid Entertainment	1984-01-01	1	inception	1984-01-01	1
6506	Henry IV, Part 1	1597-01-01	1	publication	1597-01-01	1
6543	Reprise Records	1960-01-01	1	inception	1960-01-01	1
6558	Rykodisc	1983-01-01	1	inception	1983-01-01	1
6559	Elegant Angel	1990-01-01	1	inception	1990-01-01	1
6568	Arista Records	1974-01-01	1	inception	1974-01-01	1
6578	Bronze	1971-01-01	1	inception	1971-01-01	1
6581	The Golem	1915-01-01	1	publication	1915-01-01	1
6607	Industrial Records	1976-01-01	1	inception	1976-01-01	1
6612	Threshold House	1987-01-01	1	inception	1987-01-01	1
6616	Spotify	2006-04-23	3	inception	2006-04-23	3
6622	House of 1000 Corpses	2003-03-13	3	release	2003-03-13	3
6625	A Clockwork Orange	1962-01-01	1	publication	1962-01-01	1
6652	PolyGram	1972-01-01	1	inception	1972-01-01	1
6683	Babelsberg Studio	1912-01-01	1	inception	1912-01-01	1
6790	The Island of Dr Moreau	1895-01-01	2	publication	1895-01-01	2
6843	Q726153	1980-01-01	1	inception	1980-01-01	1
6844	Q726251	1950-01-01	1	inception	1950-01-01	1
6858	Q729590	1957-01-01	1	inception	1957-01-01	1
6906	I Know What You Did Last Summer	1973-10-01	2	publication	1973-10-01	2
6923	Jungfrukällan	1960-02-08	3	release	1960-02-08	3
6924	'Salem's Lot	1975-10-17	3	publication	1975-10-17	3
6925	Jin Ping Mei	1610-01-01	1	publication	1610-01-01	1
6929	Metal Blade Records	1982-01-01	1	inception	1982-01-01	1
6959	Q781183	1924-01-01	1	inception	1924-01-01	1
6975	Q789838	1959-01-01	1	inception	1959-01-01	1
6976	Barrandov Studio a.s.	1931-01-01	1	inception	1931-01-01	1
6977	Q797236	1982-01-01	1	inception	1982-01-01	1
7006	Kama Sutra	1964-01-01	1	inception	1964-01-01	1
7022	Low	1977-01-14	3	release	1977-01-14	3
7033	Q843402	1958-01-01	1	inception	1958-01-01	1
7052	Q864385	1967-01-01	1	inception	1967-01-01	1
7070	Q885732	1965-01-01	1	inception	1965-01-01	1
7072	Blue Note	1939-01-01	1	inception	1939-01-01	1
7092	Sun Records	1952-01-01	1	inception	1952-01-01	1
7093	La Dame aux camélias	1848-01-01	1	publication	1848-01-01	1
7101	Q907311	1997-08-29	3	inception	1997-08-29	3
7121	Five Leaves Left	1969-09-01	3	release	1969-09-01	3
7137	Q922043	1917-05-11	3	first_performance	1917-05-11	3
7305	Drive-Thru Records	1996-01-01	1	inception	1996-01-01	1
7317	The Body Snatchers	1955-01-01	1	publication	1955-01-01	1
7337	Off on a Comet	1877-01-01	1	inception	1877-01-01	1
7422	Brunswick Records	1916-01-01	1	inception	1916-01-01	1
7433	Rio Bravo	1959-01-01	1	release	1959-01-01	1
7438	Центральная киностудия детских и юношеских фильмов им. М. Горького	1915-01-01	1	inception	1915-01-01	1
7439	Q1016801	1993-01-01	1	inception	1993-01-01	1
7448	Q1029135	1984-01-01	1	inception	1984-01-01	1
7469	Carmilla	1872-01-01	1	publication	1872-01-01	1
7474	Casablanca Records	1973-01-01	1	inception	1973-01-01	1
7494	Q1059115	1991-01-01	1	inception	1991-01-01	1
7500	Charisma	1969-01-01	1	inception	1969-01-01	1
7515	Q1070310	1938-01-01	1	publication	1938-01-01	1
7533	Chrysalis	1968-01-01	1	inception	1968-01-01	1
7567	Columbia Graphophone Company Limited	1917-02-13	3	inception	1917-02-13	3
7571	Jade Tree	1991-01-01	1	inception	1991-01-01	1
7578	Enigma Records	1981-01-01	1	inception	1981-01-01	1
7581	Q1124849	1956-01-01	1	inception	1956-01-01	1
7587	Naked Came the Stranger	1969-08-01	2	publication	1969-08-01	2
7597	Q1136277	1924-01-01	1	inception	1924-01-01	1
7609	Q1139341	1983-01-01	1	inception	1983-01-01	1
7620	In Cold Blood	1966-01-01	1	publication	1966-01-01	1
7631	Q1150832	1955-05-01	3	inception	1955-05-01	3
7663	The Old Dark House	1932-01-01	1	release	1932-01-01	1
7687	Q1181679	1952-01-01	1	inception	1952-01-01	1
7702	The Exorcist	1971-01-01	1	publication	1971-01-01	1
7703	Rosemary's Baby	1967-03-12	3	publication	1967-03-12	3
7706	Pandora	2000-01-01	2	inception	2000-01-01	2
